"Requirement.1","Change.1","Heavy.atom.No.1","Reaction.1","Mass.Difference.1","Description.1","Reaction1_No.","Requirement.2","Change.2","Heavy.atom.No.2","Reaction.2","Mass.Difference.2","Description.2","Reaction2_No.","mass change","formula change"
"H","C4H6O",5,"(+C4H6O)",70.041865,"butyrylation",23,"0","0",0,"0",0,"0",0,70.041865,"C4H6O1"
"H","C5H3N5",10,"(+C5H3N5)",133.038845,"addition of Guanine",24,"0","0",0,"0",0,"0",0,133.038845,"C5H3N5"
"H","C5H4N2O",8,"(+C5H4N2O)",108.032363,"addition of Thymine",25,"0","0",0,"0",0,"0",0,108.032363,"C5H4N2O1"
"H","C5H6O3",8,"(+C5H6O3)",114.031694,"glutaryllation",26,"0","0",0,"0",0,"0",0,114.031694,"C5H6O3"
"H","C5H7NO3S",10,"(+C5H7NO3S)",161.014666,"addition of N-acetyl-S-cysteine",27,"0","0",0,"0",0,"0",0,161.014666,"C5H7N1O3S1"
"H","C5H8O4",9,"(+C5H8O4)",132.04226,"addition of D-ribose",28,"0","0",0,"0",0,"0",0,132.04226,"C5H8O4"
"H","C6H10O5",11,"(+C6H10O5)",162.052825,"addition of Hexose",29,"0","0",0,"0",0,"0",0,162.052825,"C6H10O5"
"H","C6H11O8P",15,"(+C6H11O8P)",242.019158,"addition of Glucose-6-phosphate",30,"0","0",0,"0",0,"0",0,242.019158,"C6H11O8P1"
"H","C6H8O6",12,"(+C6H8O6)",176.03209,"addition of glucuronic acid",31,"0","0",0,"0",0,"0",0,176.03209,"C6H8O6"
"H","C7H13NO2",10,"(+C7H13NO2)",143.094629,"addition of Carnitine",32,"0","0",0,"0",0,"0",0,143.094629,"C7H13N1O2"
"H","C9H10N2O5",16,"(+C9H10N2O5)",226.058973,"addition of Uridine",33,"0","0",0,"0",0,"0",0,226.058973,"C9H10N2O5"
"H","C9H11N3O4",16,"(+C9H11N3O4)",225.074957,"addition of Cytidine",34,"0","0",0,"0",0,"0",0,225.074957,"C9H11N3O4"
"H","CH2",1,"(+CH2)",14.01565,"methylation",35,"0","0",0,"0",0,"0",0,14.01565,"C1H2"
"H","CO",2,"(+CO)",27.994915,"addition of CO",36,"0","0",0,"0",0,"0",0,27.994915,"C1O1"
"H","CO2",3,"(+CO2)",43.98983,"addition of CO2",37,"0","0",0,"0",0,"0",0,43.98983,"C1O2"
"H","H2",0,"(+H2)",2.01565,"hydrogenation",38,"0","0",0,"0",0,"0",0,2.01565,"H2"
"H","H2O",1,"(+H2O)",18.010565,"addition of water",39,"0","0",0,"0",0,"0",0,18.010565,"H2O1"
"H","HPO3",4,"(+HPO3)",79.966333,"addition of Phosphate",40,"0","0",0,"0",0,"0",0,79.966333,"H1O3P1"
"H","NH",1,"(+NH)",15.010899,"addition of NH",41,"0","0",0,"0",0,"0",0,15.010899,"H1N1"
"H","NH3",1,"(+NH3)",17.026549,"addition of ammonia",42,"0","0",0,"0",0,"0",0,17.026549,"H3N1"
"H","O",1,"(+O)",15.994915,"oxidation",43,"0","0",0,"0",0,"0",0,15.994915,"O1"
"H","SO3",4,"(+SO3)",79.956817,"sulfate conjugation",44,"0","0",0,"0",0,"0",0,79.956817,"O3S1"
"HS","O3",4,"(SH -> SO3H)",47.984745,"Thiol to Sulfonic acid",45,"0","0",0,"0",0,"0",0,47.984745,"O3"
"H","H2P2O6",8,"(+H2P2O6)",159.932661,"addition of di-phosphate",46,"0","0",0,"0",0,"0",0,159.932661,"H2O6P2"
"H","H3P3O9",12,"(+H3P3O9)",239.898992,"addition of tri-phosphate",47,"0","0",0,"0",0,"0",0,239.898992,"H3O9P3"
"H","FH-1",1,"(+F-H)",17.990578,"fluorination",48,"0","0",0,"0",0,"0",0,17.990578,"H-1F1"
"H","ClH-1",1,"(+Cl-H)",33.961028,"chlorination",49,"0","0",0,"0",0,"0",0,33.961028,"H-1Cl1"
"H","BrH-1",1,"(+Br-H)",77.910512,"bromination",50,"0","0",0,"0",0,"0",0,77.910512,"H-1Br1"
"H","IH-1",1,"(+I-H)",125.896648,"iodination",51,"0","0",0,"0",0,"0",0,125.896648,"H-1I1"
"NH2","H-2O2",3,"(NH2 -> NO2)",29.974179,"nitrification",52,"0","0",0,"0",0,"0",0,29.974179,"H-2O2"
"H","CF3H-1",4,"(+CF3-H)",67.987385,"addition of trifluoromethyl",53,"0","0",0,"0",0,"0",0,67.987385,"C1H-1F3"
"H","C5NH11",6,"(+C5NH11)",85.089149,"addition of choline",54,"0","0",0,"0",0,"0",0,85.089149,"C5H11N1"
"H","C5H6O",6,"(+C5H6O)",82.041865,"addition of tiglyl",55,"0","0",0,"0",0,"0",0,82.041865,"C5H6O1"
"H","NO2H-1",3,"(+NO2-H)",44.985078,"addition of nitro",56,"0","0",0,"0",0,"0",0,44.985078,"H-1N1O2"
"H","C7H6",7,"(+C7H7-H)",91.054775,"addition of benzyl",57,"0","0",0,"0",0,"0",0,91.054775,"C7H6"
"H","C6H4",6,"(+C6H5-H)",76.0313,"addition of phenyl",58,"0","0",0,"0",0,"0",0,76.0313,"C6H4"
"H","C2H2O2",4,"(+C2H2O2)",58.005479,"addition of acetic acid",59,"0","0",0,"0",0,"0",0,58.005479,"C2H2O2"
"C5H5N5","C-5H-3N-5O",10,"(-C5H5N5 + H2O)",-117.04393,"loss of Adenine",60,"0","0",0,"0",0,"0",0,-117.04393,"C-5H-3N-5O1"
"C10H11N5O3","C-10H-11N-5O-3",18,"(-C10H11N5O3)",-249.08619,"loss of Adenosine",61,"0","0",0,"0",0,"0",0,-249.08619,"C-10H-11N-5O-3"
"C10H11N5O4","C-10H-11N-5O-4",19,"(-C10H11N5O4)",-265.081105,"loss of Guanosine",62,"0","0",0,"0",0,"0",0,-265.081105,"C-10H-11N-5O-4"
"C10H12N2O4","C-10H-12N-2O-4",16,"(-C10H12N2O4)",-224.079708,"loss of Thymidine",63,"0","0",0,"0",0,"0",0,-224.079708,"C-10H-12N-2O-4"
"C10H15N3O5S","C-10H-15N-3O-5S-1",19,"(-C10H15N3O5S)",-289.073244,"loss of Glutathione",64,"0","0",0,"0",0,"0",0,-289.073244,"C-10H-15N-3O-5S-1"
"C10H15N3O6S","C-10H-15N-3O-6S-1",20,"(-C10H15N3O6S)",-305.068159,"loss of S-Glutathione",65,"0","0",0,"0",0,"0",0,-305.068159,"C-10H-15N-3O-6S-1"
"C10H7NO","C-10H-7N-1O-1",12,"(-C10H7NO)",-157.052764,"loss of indole acetyl",66,"0","0",0,"0",0,"0",0,-157.052764,"C-10H-7N-1O-1"
"C12H20O10","C-12H-20O-10",22,"(-C12H20O10)",-324.10565,"loss of di-hexose",67,"0","0",0,"0",0,"0",0,-324.10565,"C-12H-20O-10"
"C16H30O","C-16H-30O-1",17,"(-C16H30O)",-238.229665,"loss of Palmitic acid",68,"0","0",0,"0",0,"0",0,-238.229665,"C-16H-30O-1"
"C18H30O15","C-18H-30O-15",33,"(-C18H30O15)",-486.158475,"loss of tri-hexose",69,"0","0",0,"0",0,"0",0,-486.158475,"C-18H-30O-15"
"C2H2O","C-2H-2O-1",3,"(-C2H2O)",-42.010565,"Deacetylation",70,"0","0",0,"0",0,"0",0,-42.010565,"C-2H-2O-1"
"C2H3NO","C-2H-3N-1O-1",4,"(-C2H3NO)",-57.021464,"loss of glycine",71,"0","0",0,"0",0,"0",0,-57.021464,"C-2H-3N-1O-1"
"C2H4","C-2H-4",2,"(-C2H4)",-28.0313,"loss of C2H4",72,"0","0",0,"0",0,"0",0,-28.0313,"C-2H-4"
"C2H5NO2S","C-2H-5N-1O-2S-1",6,"(-C2H5NO2S)",-107.004101,"loss of taurine",73,"0","0",0,"0",0,"0",0,-107.004101,"C-2H-5N-1O-2S-1"
"C3H2O3","C-3H-2O-3",6,"(-C3H2O3)",-86.000394,"loss of malonyl",74,"0","0",0,"0",0,"0",0,-86.000394,"C-3H-2O-3"
"C3H4O","C-3H-4O-1",4,"(-C3H4O)",-56.026215,"loss of propionyl",75,"0","0",0,"0",0,"0",0,-56.026215,"C-3H-4O-1"
"C3H5NO2S","C-3H-5N-1O-2S-1",7,"(-C3H5NO2S)",-119.004101,"loss of S-cysteine",76,"0","0",0,"0",0,"0",0,-119.004101,"C-3H-5N-1O-2S-1"
"C3H5NOS","C-3H-5N-1O-1S-1",6,"(-C3H5NOS)",-103.009186,"loss of cysteine",77,"0","0",0,"0",0,"0",0,-103.009186,"C-3H-5N-1O-1S-1"
"C4H2N2O","C-4H-2N-2O-1",7,"(-C4H2N2O)",-94.016713,"loss of Uracil",78,"0","0",0,"0",0,"0",0,-94.016713,"C-4H-2N-2O-1"
"C4H3N3","C-4H-3N-3",7,"(-C4H3N3)",-93.032697,"loss of Cytosine",79,"0","0",0,"0",0,"0",0,-93.032697,"C-4H-3N-3"
"C4H4O","C-4H-4O-1",5,"(-C4H4O)",-68.026215,"loss of crotonyl",80,"0","0",0,"0",0,"0",0,-68.026215,"C-4H-4O-1"
"C4H4O3","C-4H-4O-3",7,"(-C4H4O3)",-100.016044,"loss of succinyl",81,"0","0",0,"0",0,"0",0,-100.016044,"C-4H-4O-3"
"C4H6O","C-4H-6O-1",5,"(-C4H6O)",-70.041865,"loss of butyryl",82,"0","0",0,"0",0,"0",0,-70.041865,"C-4H-6O-1"
"C5H3N5","C-5H-3N-5",10,"(-C5H3N5)",-133.038845,"loss of Guanine",83,"0","0",0,"0",0,"0",0,-133.038845,"C-5H-3N-5"
"C5H4N2O","C-5H-4N-2O-1",8,"(-C5H4N2O)",-108.032363,"loss of Thymine",84,"0","0",0,"0",0,"0",0,-108.032363,"C-5H-4N-2O-1"
"C5H6O3","C-5H-6O-3",8,"(-C5H6O3)",-114.031694,"loss of glutaryl",85,"0","0",0,"0",0,"0",0,-114.031694,"C-5H-6O-3"
"C5H7NO3S","C-5H-7N-1O-3S-1",10,"(-C5H7NO3S)",-161.014666,"loss of N-acetyl-S-cysteine",86,"0","0",0,"0",0,"0",0,-161.014666,"C-5H-7N-1O-3S-1"
"C5H8O4","C-5H-8O-4",9,"(-C5H8O4)",-132.04226,"loss of D-ribose",87,"0","0",0,"0",0,"0",0,-132.04226,"C-5H-8O-4"
"C6H10O5","C-6H-10O-5",11,"(-C6H10O5)",-162.052825,"loss of Hexose",88,"0","0",0,"0",0,"0",0,-162.052825,"C-6H-10O-5"
"C6H11O8P","C-6H-11O-8P-1",15,"(-C6H11O8P)",-242.019158,"loss of Glucose-6-phosphate",89,"0","0",0,"0",0,"0",0,-242.019158,"C-6H-11O-8P-1"
"C6H8O6","C-6H-8O-6",12,"(-C6H8O6)",-176.03209,"loss of glucuronic acid",90,"0","0",0,"0",0,"0",0,-176.03209,"C-6H-8O-6"
"C7H13NO2","C-7H-13N-1O-2",10,"(-C7H13NO2)",-143.094629,"loss of Carnitine",91,"0","0",0,"0",0,"0",0,-143.094629,"C-7H-13N-1O-2"
"C9H10N2O5","C-9H-10N-2O-5",16,"(-C9H10N2O5)",-226.058973,"loss of Uridine",92,"0","0",0,"0",0,"0",0,-226.058973,"C-9H-10N-2O-5"
"C9H11N3O4","C-9H-11N-3O-4",16,"(-C9H11N3O4)",-225.074957,"loss of Cytidine",93,"0","0",0,"0",0,"0",0,-225.074957,"C-9H-11N-3O-4"
"CH2","C-1H-2",1,"(-CH2)",-14.01565,"demethylation",94,"0","0",0,"0",0,"0",0,-14.01565,"C-1H-2"
"CO","C-1O-1",2,"(-CO)",-27.994915,"loss of CO",95,"0","0",0,"0",0,"0",0,-27.994915,"C-1O-1"
"CO2","C-1O-2",3,"(-CO2)",-43.98983,"loss of CO2",96,"0","0",0,"0",0,"0",0,-43.98983,"C-1O-2"
"H2","H-2",0,"(-H2)",-2.01565,"dehydrogenation",97,"0","0",0,"0",0,"0",0,-2.01565,"H-2"
"H2O","H-2O-1",1,"(-H2O)",-18.010565,"loss of water",98,"0","0",0,"0",0,"0",0,-18.010565,"H-2O-1"
"HO3P","H-1O-3P-1",4,"(-HPO3)",-79.966333,"loss of Phosphate",99,"0","0",0,"0",0,"0",0,-79.966333,"H-1O-3P-1"
"HN","H-1N-1",1,"(-NH)",-15.010899,"loss of NH",100,"0","0",0,"0",0,"0",0,-15.010899,"H-1N-1"
"H3N","H-3N-1",1,"(-NH3)",-17.026549,"loss of ammonia",101,"0","0",0,"0",0,"0",0,-17.026549,"H-3N-1"
"O","O-1",1,"(-O)",-15.994915,"loss of oxygen",102,"0","0",0,"0",0,"0",0,-15.994915,"O-1"
"O3S","O-3S-1",4,"(-SO3)",-79.956817,"loss of sulfate",103,"0","0",0,"0",0,"0",0,-79.956817,"O-3S-1"
"HO3S","O-3",4,"(SO3H -> SH)",-47.984745,"Sulfonic acid to Thiol",104,"0","0",0,"0",0,"0",0,-47.984745,"O-3"
"H2P2O6","H-2P-2O-6",8,"(-H2P2O6)",-159.932661,"loss of di-phosphate",105,"0","0",0,"0",0,"0",0,-159.932661,"H-2O-6P-2"
"H3P3O9","H-3P-3O-9",12,"(-H3P3O9)",-239.898992,"loss of tri-phosphate",106,"0","0",0,"0",0,"0",0,-239.898992,"H-3O-9P-3"
"F","HF-1",1,"(-F+H)",-17.990578,"defluorination",107,"0","0",0,"0",0,"0",0,-17.990578,"H1F-1"
"Cl","HCl-1",1,"(-Cl+H)",-33.961028,"dechlorination",108,"0","0",0,"0",0,"0",0,-33.961028,"H1Cl-1"
"Br","HBr-1",1,"(-Br+H)",-77.910512,"debromination",109,"0","0",0,"0",0,"0",0,-77.910512,"H1Br-1"
"I","HI-1",1,"(-I+H)",-125.896648,"deiodination",110,"0","0",0,"0",0,"0",0,-125.896648,"H1I-1"
"NO2","H2O-2",3,"(NO2 -> NH2)",-29.974179,"denitrification",111,"0","0",0,"0",0,"0",0,-29.974179,"H2O-2"
"CF3","C-1F-3H",4,"(-CF3+H)",-67.987385,"loss of trifluoromethyl",112,"0","0",0,"0",0,"0",0,-67.987385,"C-1H1F-3"
"C5NOH13","C-5N-1H-11",6,"(-C5NH11)",-85.089149,"loss of choline",113,"0","0",0,"0",0,"0",0,-85.089149,"C-5H-11N-1"
"C5H7O","C-5H-6O-1",6,"(-C5H6O)",-82.041865,"loss of tiglyl",114,"0","0",0,"0",0,"0",0,-82.041865,"C-5H-6O-1"
"NO2","N-1O-2H1",3,"(-NO2+H)",-44.985078,"loss of nitro",115,"0","0",0,"0",0,"0",0,-44.985078,"H1N-1O-2"
"C7H7","C-7H-6",7,"(-C7H7+H)",-91.054775,"loss of benzyl",116,"0","0",0,"0",0,"0",0,-91.054775,"C-7H-6"
"C6H5","C-6H-4",6,"(-C6H5+H)",-76.0313,"loss of phenyl",117,"0","0",0,"0",0,"0",0,-76.0313,"C-6H-4"
"C2H3O2","C-2H-2O-2",4,"(-C2H2O2)",-58.005479,"loss of acetic acid",118,"0","0",0,"0",0,"0",0,-58.005479,"C-2H-2O-2"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,234.08786,"C10H6N10O-2"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C10H11N5O3",18,"(+C10H11N5O3)",249.08619,"addition of Adenosine",2,366.13012,"C15H14N10O2"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C10H11N5O4",19,"(+C10H11N5O4)",265.081105,"addition of Guanosine",3,382.125035,"C15H14N10O3"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C10H12N2O4",16,"(+C10H12N2O4)",224.079708,"addition of Thymidine",4,341.123638,"C15H15N7O3"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C10H15N3O5S",19,"(+C10H15N3O5S)",289.073244,"addition of Glutathione",5,406.117174,"C15H18N8O4S1"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,422.112089,"C15H18N8O5S1"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C10H7NO",12,"(+C10H7NO)",157.052764,"indole acetylation",7,274.096694,"C15H10N6"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C12H20O10",22,"(+C12H20O10)",324.10565,"addition of di-hexose",8,441.14958,"C17H23N5O9"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C16H30O",17,"(+C16H30O)",238.229665,"addition of Palmitic acid",9,355.273595,"C21H33N5"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C18H30O15",33,"(+C18H30O15)",486.158475,"addition of tri-hexose",10,603.202405,"C23H33N5O14"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C2H2O",3,"(+C2H2O)",42.010565,"acetylation",11,159.054495,"C7H5N5"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C2H3NO",4,"(+C2H3NO)",57.021464,"glycine conjugation",12,174.065394,"C7H6N6"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C2H4",2,"(+C2H4)",28.0313,"addition of C2H4",13,145.07523,"C7H7N5O-1"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C2H5NO2S",6,"(+C2H5NO2S)",107.004101,"taurine conjugation",14,224.048031,"C7H8N6O1S1"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C3H2O3",6,"(+C3H2O3)",86.000394,"malonylation",15,203.044324,"C8H5N5O2"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C3H4O",4,"(+C3H4O)",56.026215,"propionylation",16,173.070145,"C8H7N5"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C3H5NO2S",7,"(+C3H5NO2S)",119.004101,"S-cysteine conjugation",17,236.048031,"C8H8N6O1S1"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C3H5NOS",6,"(+C3H5NOS)",103.009186,"cysteine conjugation",18,220.053116,"C8H8N6S1"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C4H2N2O",7,"(+C4H2N2O)",94.016713,"addition of Uracil",19,211.060643,"C9H5N7"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C4H3N3",7,"(+C4H3N3)",93.032697,"addition of Cytosine",20,210.076627,"C9H6N8O-1"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C4H4O",5,"(+C4H4O)",68.026215,"crotonylation",21,185.070145,"C9H7N5"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C4H4O3",7,"(+C4H4O3)",100.016044,"succinylation",22,217.059974,"C9H7N5O2"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C4H6O",5,"(+C4H6O)",70.041865,"butyrylation",23,187.085795,"C9H9N5"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C5H3N5",10,"(+C5H3N5)",133.038845,"addition of Guanine",24,250.082775,"C10H6N10O-1"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C5H4N2O",8,"(+C5H4N2O)",108.032363,"addition of Thymine",25,225.076293,"C10H7N7"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C5H6O3",8,"(+C5H6O3)",114.031694,"glutaryllation",26,231.075624,"C10H9N5O2"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C5H7NO3S",10,"(+C5H7NO3S)",161.014666,"addition of N-acetyl-S-cysteine",27,278.058596,"C10H10N6O2S1"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C5H8O4",9,"(+C5H8O4)",132.04226,"addition of D-ribose",28,249.08619,"C10H11N5O3"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C6H10O5",11,"(+C6H10O5)",162.052825,"addition of Hexose",29,279.096755,"C11H13N5O4"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C6H11O8P",15,"(+C6H11O8P)",242.019158,"addition of Glucose-6-phosphate",30,359.063088,"C11H14N5O7P1"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C6H8O6",12,"(+C6H8O6)",176.03209,"addition of glucuronic acid",31,293.07602,"C11H11N5O5"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C7H13NO2",10,"(+C7H13NO2)",143.094629,"addition of Carnitine",32,260.138559,"C12H16N6O1"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C9H10N2O5",16,"(+C9H10N2O5)",226.058973,"addition of Uridine",33,343.102903,"C14H13N7O4"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","C9H11N3O4",16,"(+C9H11N3O4)",225.074957,"addition of Cytidine",34,342.118887,"C14H14N8O3"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","CH2",1,"(+CH2)",14.01565,"methylation",35,131.05958,"C6H5N5O-1"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","CO",2,"(+CO)",27.994915,"addition of CO",36,145.038845,"C6H3N5"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","CO2",3,"(+CO2)",43.98983,"addition of CO2",37,161.03376,"C6H3N5O1"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","H2",0,"(+H2)",2.01565,"hydrogenation",38,119.05958,"C5H5N5O-1"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","H2O",1,"(+H2O)",18.010565,"addition of water",39,135.054495,"C5H5N5"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","HPO3",4,"(+HPO3)",79.966333,"addition of Phosphate",40,197.010263,"C5H4N5O2P1"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","NH",1,"(+NH)",15.010899,"addition of NH",41,132.054829,"C5H4N6O-1"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","NH3",1,"(+NH3)",17.026549,"addition of ammonia",42,134.070479,"C5H6N6O-1"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","O",1,"(+O)",15.994915,"oxidation",43,133.038845,"C5H3N5"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","SO3",4,"(+SO3)",79.956817,"sulfate conjugation",44,197.000747,"C5H3N5O2S1"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"HS","O3",4,"(SH -> SO3H)",47.984745,"Thiol to Sulfonic acid",45,165.028675,"C5H3N5O2"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"H","H2P2O6",8,"(+H2P2O6)",159.932661,"addition of di-phosphate",46,276.976591,"C5H5N5O5P2"
